frame,time,reaction_progress,separation,max_devi_f,selected,matched_region
0,0.00,1.105815,1.942283,0.04961590,1,long_separation_segment
1,0.01,0.331562,0.191233,0.06093881,0,
2,0.02,0.019760,0.001188,0.05923742,0,
3,0.03,0.015121,0.000627,0.05344536,0,
4,0.04,0.016186,0.000895,0.02783972,0,
5,0.05,0.012969,0.000777,0.02044674,0,
6,0.06,0.022019,0.001386,0.01944862,0,
7,0.07,0.023156,0.001393,0.02372279,0,
8,0.08,0.021227,0.001238,0.02455064,0,
9,0.09,0.013114,0.000537,0.02434681,0,
10,0.10,0.013448,0.000313,0.02248507,0,
11,0.11,0.016049,0.000412,0.01966902,0,
12,0.12,0.017693,0.000482,0.02341077,0,
13,0.13,0.016127,0.000761,0.02579630,0,
14,0.14,0.020162,0.001281,0.05144615,0,
15,0.15,0.020395,0.001199,0.01967215,0,
16,0.16,0.019135,0.000837,0.02595787,0,
17,0.17,0.020178,0.000676,0.02177225,0,
18,0.18,0.009473,0.000183,0.02256918,0,
19,0.19,0.009279,0.000359,0.02015445,0,
20,0.20,0.012128,0.000423,0.02120156,0,
21,0.21,0.016742,0.000393,0.02194979,0,
22,0.22,0.013437,0.000343,0.02796806,0,
23,0.23,0.009429,0.000321,0.02124030,0,
24,0.24,0.011918,0.000550,0.04441967,0,
25,0.25,0.023250,0.001028,0.03967326,0,
26,0.26,0.031458,0.001500,0.03288619,0,
27,0.27,0.019661,0.000592,0.02527180,0,
28,0.28,0.014085,0.000458,0.01784565,0,
29,0.29,0.009706,0.000239,0.02170850,0,
30,0.30,0.011144,0.000294,0.02728277,0,
31,0.31,0.012418,0.000213,0.02351867,0,
32,0.32,0.012123,0.000196,0.02181650,0,
33,0.33,0.010015,0.000245,0.01914208,0,
34,0.34,0.007894,0.000187,0.02482795,0,
35,0.35,0.009761,0.000345,0.02180794,0,
36,0.36,0.010108,0.000311,0.02329434,0,
37,0.37,0.010420,0.000482,0.02324096,0,
38,0.38,0.013528,0.000965,0.02823779,0,
39,0.39,0.010173,0.000517,0.01753681,0,
40,0.40,0.011577,0.000242,0.01798410,0,
41,0.41,0.025036,0.001414,0.02419145,0,
42,0.42,0.026353,0.001121,0.02858934,0,
43,0.43,0.019892,0.000571,0.02840356,0,
44,0.44,0.013585,0.000587,0.02085866,0,
45,0.45,0.016640,0.000598,0.03118467,0,
46,0.46,0.015723,0.000394,0.01906577,0,
47,0.47,0.016313,0.000407,0.02138059,0,
48,0.48,0.014443,0.000548,0.02070893,0,
49,0.49,0.011040,0.000286,0.01872310,0,
50,0.50,0.011937,0.000540,0.02750703,0,
51,0.51,0.015158,0.000560,0.02192241,0,
52,0.52,0.010657,0.000284,0.01776688,0,
53,0.53,0.010401,0.000369,0.02289455,0,
54,0.54,0.011122,0.000329,0.01865144,0,
55,0.55,0.015647,0.000683,0.01956066,0,
56,0.56,0.013895,0.000430,0.02359367,0,
57,0.57,0.011968,0.000555,0.02236513,0,
58,0.58,0.009357,0.000494,0.01909008,0,
59,0.59,0.009896,0.000489,0.02554168,0,
60,0.60,0.010540,0.000469,0.02262115,0,
61,0.61,0.014809,0.000618,0.02580543,0,
62,0.62,0.017193,0.000702,0.02152058,0,
63,0.63,0.010999,0.000174,0.02051130,0,
64,0.64,0.013869,0.000306,0.02556637,0,
65,0.65,0.010904,0.000343,0.01920412,0,
66,0.66,0.012697,0.000363,0.01945871,0,
67,0.67,0.011975,0.000500,0.01809954,0,
68,0.68,0.011196,0.000469,0.01707521,0,
69,0.69,0.007142,0.000284,0.02382142,0,
70,0.70,0.016259,0.000998,0.01840609,0,
71,0.71,0.027881,0.001535,0.02184007,0,
72,0.72,0.030091,0.001813,0.02435253,0,
73,0.73,0.018154,0.000479,0.01902470,0,
74,0.74,0.015256,0.000363,0.02222169,0,
75,0.75,0.019313,0.001091,0.02733814,0,
76,0.76,0.027252,0.003231,0.02872039,0,
77,0.77,0.051430,0.010054,0.03652025,0,
78,0.78,0.035322,0.004044,0.02531417,0,
79,0.79,0.017857,0.000838,0.02406112,0,
80,0.80,0.018969,0.000592,0.02688467,0,
81,0.81,0.015474,0.000510,0.02670296,0,
82,0.82,0.016563,0.000593,0.02272544,0,
83,0.83,0.019157,0.000736,0.02064913,0,
84,0.84,0.012060,0.000384,0.02100043,0,
85,0.85,0.011506,0.000368,0.02049360,0,
86,0.86,0.009979,0.000329,0.02744572,0,
87,0.87,0.010942,0.000463,0.01978316,0,
88,0.88,0.011798,0.000588,0.02206948,0,
89,0.89,0.010285,0.000527,0.02133923,0,
90,0.90,0.021774,0.001712,0.02534853,0,
91,0.91,0.038509,0.003669,0.03681208,0,
92,0.92,0.033018,0.002755,0.02284027,0,
93,0.93,0.018791,0.000927,0.02172029,0,
94,0.94,0.018234,0.000801,0.01870684,0,
95,0.95,0.020130,0.000769,0.01850184,0,
96,0.96,0.020244,0.000883,0.02184313,0,
97,0.97,0.018864,0.001090,0.02194781,0,
98,0.98,0.018311,0.001509,0.01948795,0,
99,0.99,0.020064,0.001663,0.02840096,0,
100,1.00,0.019077,0.001242,0.02277661,0,
101,1.01,0.023286,0.001853,0.02369463,0,
102,1.02,0.018474,0.001251,0.02714814,0,
103,1.03,0.017429,0.001248,0.02372907,0,
104,1.04,0.020964,0.001755,0.01983618,0,
105,1.05,0.009197,0.000367,0.01799053,0,
